time_seconds,queue_size
1.1183294,0
2.1206986,397132
3.1219528,395362
4.1277675,393027
5.1300211000000004,389492
6.1329615,384926
7.1360429,380575
8.1399913,374402
9.1448265,364637
10.1476179,353047
11.1481931,347448
12.1510996,342555
13.1557199,337451
14.1596406,333216
15.1599972,328765
16.1660066,323507
17.1688661,317810
18.172462,312992
19.1767173,308161
20.1771289,303590
21.1825185,298724
22.1849657,293931
23.1868492,289201
24.1926686,284361
25.1947503,278246
26.1979501,270520
27.2000385,261957
28.2036979,251981
29.2037993,240970
30.2093422,222217
31.2142019,206524
32.2156248,199231
33.2203859,192529
34.2244972,185626
35.2274161,178664
36.2304085,171625
37.2362541,162854
38.2383888,153088
39.2391191,142540
40.2430741,128378
41.2471097,117028
42.2505128,105701
43.2573238,91511
44.2625607,74469
45.2638351,55910
46.2708161,21251
