time_seconds,queue_size
1.1184017,0
2.1195023,450848
3.1224168,448649
4.1255593,446255
5.1263586,443043
6.1289375,441039
7.1300842,438570
8.1335506,435833
9.1392113,433656
10.140649,429583
11.144607,425059
12.1453438,419875
13.1494866,413423
14.1533892,408223
15.1581876,403297
16.1626774,398178
17.1642418,393283
18.1695624,388767
19.1716976,383282
20.1757826,377310
21.1775903,370182
22.1806334,361768
23.1846778,349280
24.1882774,340044
25.1932376,331907
26.1943389,324773
27.199194,318012
28.1992369,310059
29.2000983,299539
30.2007053,291115
31.2010366,284337
32.2063131,278354
33.2098655,272883
34.2107612,267487
35.2116391,262097
36.2128834,256437
37.2162551,249453
38.2200625,241969
39.2246599,234006
40.2262667,225170
41.2263186,217038
42.2329732,209277
43.2347321,199235
44.2400045,187502
45.244477,172822
46.2465774,157219
47.2505711,145676
48.2534895,136189
49.2539578,126660
50.2560604,117449
51.2582779,106055
52.2585087,92256
53.2612328,75300
54.2624441,56366
55.2633028,34313
56.2647655,8331
