time_seconds,queue_size
1.275862,392855
2.2783179000000002,391825
3.2820306,385372
4.2869572,383057
5.2881125,381281
6.2926983,379556
7.2979956,374396
8.3045178,368077
9.3098774,363641
10.3146871,359994
11.3184631,356994
12.3219324,354021
13.3252668,350883
14.3286821,347364
15.3333543,342133
16.3336457,336088
17.33449,329755
18.3358634,323136
19.3368795,318393
20.3410984,314346
21.346296,310977
22.349735,307211
23.350712,301428
24.3540631,294963
25.3589374,288357
26.3612021,278892
27.3614163,268109
28.3624034,254941
29.3670172,246030
30.3704791,240293
31.3728581,234722
32.3745939,227293
33.3760864,218930
34.3777705,210425
35.3826712,196052
36.3839691,170090
37.3875766,138110
38.3923118,122410
39.3951443,111281
40.3989088,100862
41.3993586,91540
42.4053772,83508
43.4068732,75377
44.4073879,67793
45.4124885,60690
46.4137546,53864
47.4142816,46683
48.4177317,39967
49.4185277,33182
50.4192302,25444
51.4200871,15859
52.4204261,1843
