time_seconds,queue_size
1.1180578,0
2.1186288,410185
3.1197331,408682
4.1208567,407522
5.12135,405966
6.1230153,403383
7.1268304,400403
8.130068,395912
9.131446,391751
10.1347864,388425
11.1362973,385144
12.1410506,381814
13.1452035,378103
14.1496897,373598
15.1540925,369948
16.1569466,367191
17.1597502,363546
18.1649128,358943
19.1658639,353868
20.1705291,349538
21.1754746,344674
22.176232,338932
23.1780303,332575
24.1832544,325218
25.1875306,316752
26.1891485,309809
27.1916065,303415
28.1961893,297502
29.1989186,291402
30.204356,285035
31.2087446,278629
32.2088171,271613
33.211782,263551
34.2132495,255539
35.2177251,247216
36.2213478,239004
37.2258267,231588
38.2278516,223271
39.2282605,213328
40.2340237,199534
41.2388367,184750
42.2416954,168021
43.2437716,157274
44.2473262,148652
45.2477501,140028
46.2486795,133397
47.2499813,126736
48.2516903,119575
49.2530147,111841
50.2583145,103315
51.2631029,93562
52.2659131,83030
53.2689556,70926
54.2704363,57652
55.2720702,38424
56.2726027,18761
