time_seconds,queue_size
1.2762372,456258
2.2802217000000002,452834
3.2812765,447029
4.2819611,443860
5.2843745,441582
6.2862071,439154
7.2887394,434883
8.2941838,430295
9.2972334,424398
10.3020405,417448
11.3034408,411749
12.3082158,405377
13.3116151,397258
14.3144152,389662
15.3144738,383222
16.3173304,375503
17.322118,365853
18.3262729,355656
19.3276363,340761
20.3329271,332342
21.3375159,326140
22.3379913,319606
23.3382681,311700
24.339986,303652
25.3404599,294220
26.3429914,285333
27.3434449,271109
28.3481706,257445
29.353611,245592
30.3586132,235213
31.3628469,225918
32.3666151,217356
33.3670515,210805
34.3708146,203945
35.3731848,197322
36.3773147,190526
37.3821245,184075
38.3844688,177418
39.386699899999996,170358
40.3898265,163120
41.3951984,155885
42.3962249,149997
43.3974224,143298
44.3999391,136997
45.4024818,130820
46.4052973,123811
47.4085165,116018
48.4118826,107391
49.415154,97507
50.4153395,85292
51.4195639,70433
52.4227595,54063
53.4232509,33093
54.4255853,6111
