time_seconds,queue_size
1.1949716,4996
2.1977647,413608
3.197915,411713
4.2029167,409495
5.2069303,407064
6.2102278,404047
7.2114033,399909
8.2121056,396308
9.2123474,392016
10.2123918,387800
11.2134342,382829
12.2135435,377519
13.2172949,372037
14.2236887,366932
15.229285,361522
16.2302828,355460
17.232578,348755
18.2366948,342898
19.2419125,335699
20.2452984,329804
21.2461932,322948
22.249388,315913
23.2541071,308388
24.25868,300748
25.2595847,293110
26.2669712,286169
27.2721864,277938
28.2735053,270252
29.2774667,263245
30.2804955,256799
31.2808717,249733
32.2837902,241549
33.2842023,232739
34.2877856,223435
35.2925414,215193
36.2952172,207579
37.297707,199775
38.3012392,191267
39.3061005,181991
40.3078699,171889
41.3140626,162395
42.3153836,152047
43.3155327,143275
44.3195365,133962
45.3211214,124774
46.324443,116400
47.3322458,106651
48.336068,95023
49.3397673,84469
50.3460473,73974
51.3462523,64607
52.3489773,55648
53.3530412,44916
54.3544102,34525
55.3572641,25040
56.3630231,14342
57.3659598,4874
