time_seconds,queue_size
1.1938384,4929
2.1978842,411374
3.2001741,409566
4.2052556,407268
5.2072933,405094
6.2116321,402251
7.2182428,398789
8.2189257,395656
9.2214118,391996
10.2264116,388366
11.228111,383822
12.2300763,378040
13.2307325,372881
14.232555,367598
15.2355165,362374
16.2405777,356760
17.2416503,350104
18.2417233,343314
19.2421714,336350
20.2458643,330431
21.249457,324168
22.2529844,318040
23.2541554,310868
24.2562988,303847
25.2580387,296649
26.2627288,289850
27.2682188,282514
28.2688504,273928
29.2735849,266478
30.2768722,259089
31.280341,251614
32.2818322,243032
33.2851541,233309
34.286168,224529
35.2886945,216812
36.2931724,207989
37.2967757,199915
38.3013605,191587
39.3043031,181340
40.307971,171967
41.3111778,161568
42.3141615,151654
43.3168727,142331
44.3223045,133022
45.3239559,124979
46.3279202,116294
47.3332585,107206
48.334634199999996,97381
49.3393854,83650
50.3402554,73441
51.3426502,63832
52.3440344,55034
53.3471082,44815
54.3513398,34672
55.3542635,25414
56.3560149,15376
57.360997,5090
