time_seconds,queue_size
1.1944306,4695
2.1971109,413927
3.1986535,412294
4.2001101,410173
5.2034544,407676
6.2077886,404310
7.2098314,400412
8.211949,396478
9.2157543,392883
10.217266,388005
11.2184389,382771
12.2234376,378179
13.2245027,372652
14.2303494,367473
15.232054399999999,361683
16.2373473,355409
17.2432273,350001
18.2439745,344476
19.2484975,337478
20.2524392,330983
21.2537779,324103
22.2575713,316606
23.2615126,310223
24.2644397,303923
25.2667955,295878
26.2713477,288754
27.2775803,281263
28.2816903,273448
29.2864527,265739
30.2877723,257657
31.2906365,249311
32.2911395,240579
33.2928204,232437
34.2937437,224195
35.29861,215784
36.2987985,207824
37.3004471,199459
38.306964,190209
39.3081399,181305
40.3094517,171313
41.3147393,161247
42.3179622,152142
43.3193439,143233
44.3199173,134336
45.3254915,125432
46.3287509,115884
47.3327306,105744
48.3386036,97118
49.3436966,88726
50.3438282,79327
51.344911,69931
52.3461443,59799
53.3472861,50402
54.3481171,39181
55.3544151,28879
56.3613789,19556
57.3657563,8299
