time_seconds,queue_size
1.1942965,5042
2.1947826,413971
3.1975224,412255
4.1986995,410018
5.1993362,407328
6.1999772,403897
7.2004202,400257
8.2010576,396595
9.2025973,391891
10.2068014,387575
11.209066,382937
12.2120553,376880
13.21368,371689
14.2196323,365859
15.2255258,360547
16.2260927,355730
17.2304921,349744
18.2329826,342955
19.2342137,337362
20.2400342,331304
21.242672,324556
22.2473324,317726
23.2491455,310485
24.2536379,303225
25.25774,296100
26.2647571,288852
27.2692662,282430
28.269764,274747
29.2721089,267333
30.27363,259139
31.2751334,251255
32.280615,242448
33.2833026,234622
34.288395,227590
35.2914339,219852
36.2970841,210904
37.3013336,202107
38.3018596,193715
39.3050908,183960
40.3105193,176822
41.3145592,168460
42.3146263,159281
43.3161092,149972
44.3184538,139007
45.3205589,130281
46.3267568,122451
47.3306762,113391
48.3336753,104076
49.3393886,93780
50.343713,82661
51.3493065,72532
52.3511393,62392
53.3531076,51401
54.3568227,40848
55.3591772,30695
56.3653831,20349
57.3708092,10039
