time_seconds,queue_size
1.192675,460
2.1939272,412907
3.1946682,411184
4.1962822,408991
5.1990053,406383
6.1998681,403390
7.2019055,399203
8.2034351,395088
9.204651,390883
10.208638,386551
11.2086955,381972
12.2098267,376555
13.2148294,370892
14.2148931,365218
15.2192557,360473
16.2199256,354686
17.2241673,347666
18.2270989,342220
19.22879,335721
20.2312069,329402
21.2332587,322544
22.2367312,315405
23.238382,309494
24.2433495,302375
25.2433994,295152
26.2462537,286943
27.249464,278449
28.2554414,270375
29.2562184,262861
30.262627,255849
31.266508,248597
32.2688163,240129
33.2737606,230531
34.2776249,222132
35.2793349,213581
36.2814992,205265
37.2820124,196467
38.2855302,188262
39.2877653,180352
40.2879555,170549
41.2894091,162255
42.2938958,152360
43.2986849,143337
44.3021312,134315
45.3036527,125624
46.3056665,116685
47.3070431,108309
48.3095591,96590
49.3151892,86239
50.3171537,75417
51.322163,65768
52.3227657,56661
53.326255,46533
54.3291681,37485
55.3349085,25859
56.3381483,15367
57.3406487,5066
