time_seconds,queue_size
1.1933095,433
2.196348,410043
3.1989942,408339
4.2014342,406179
5.2042641,403198
6.2073145,400246
7.2099049,397001
8.2132805,393853
9.218623000000001,390447
10.2234545,385258
11.2268382,380444
12.2320515,375432
13.2347059,370068
14.2351204,364920
15.2386188,358183
16.2424298,352636
17.2471541,347822
18.2513791,341959
19.2541848,335382
20.259117,328247
21.2602575,321769
22.2613353,315222
23.262571,307018
24.2671846,299631
25.2684353,292193
26.2699825,284228
27.275128,276760
28.2770289,269617
29.2778413,261986
30.283178,253002
31.2881651,243516
32.2915534,235719
33.2940496,226572
34.2960851,219234
35.3025841,211123
36.3045954,201459
37.3069803,193871
38.3115806,184572
39.3132993,175592
40.3144605,166721
41.3197696,157616
42.3219262,148267
43.3249841,139444
44.3314571,130802
45.3317949,120158
46.3338191,110837
47.3371109,101608
48.3401037,92316
49.3422184,81963
50.3445979,71578
51.3486784,60116
52.3517106,50442
53.3575888,40807
54.3641864,30028
55.3667534,20504
56.3680846,10819
57.3733707,0
