time_seconds,chunks_per_second,entity_chunks_per_second
2.196277,203.0709241138527,49.17412512174011
3.1976404,23775.315577715402,418.4599356071055
4.1976956,27931.986034006983,409.9997950001025
5.1983387,48863.75186504681,402.7671603046279
6.2001153,47504.377912181386,381.36080116117375
7.2007211,35159.584877230795,396.7808975883517
8.2007842,41427.838431430115,374.9985375057037
9.2012983,42204.29505643099,364.8383036638162
10.2019355,46278.59805980688,381.78219325874585
11.202963,52983.67081109654,372.64602354223723
12.2031801,56195.901883485065,369.9401066967258
13.2051513,61605.30921727132,359.3135673609137
14.2054569,57158.91604308698,358.9115641905834
15.2057868,51866.03766266121,368.9006919337314
16.2076199,48065.4483085556,369.342607093634
17.2079184,55215.063110713156,373.9123923264779
18.2087853,53535.94639191163,383.6914353476934
