time_seconds,queue_size
1.5883785000000001,7256
2.5887839,534333
3.5895947,533326
4.5916122999999995,532127
5.5922569,531018
6.5929487,529847
7.5934947,528634
8.5943846,527316
9.594861,525957
10.5950809,524876
11.5956617,523522
12.595883,522201
13.5960351,520881
14.5961641,519547
15.5967132,518162
16.5970197,516737
17.5972219,515325
18.5978922,513889
19.5982846,512473
20.5988566,511043
21.599089,509605
22.599722,508315
23.6000883,506881
24.6008194,505418
25.6013739,503955
26.6017914,502493
27.6018555,501085
28.6042386,499650
29.604556,498201
30.6048391,496793
31.6054917,495317
32.6057772,493857
33.606361,492415
34.6064447,490939
35.6065747,489479
36.6069006,488008
37.6076143,486553
38.608171,485092
39.6084569,483650
40.6085094,482216
41.6085625,480784
42.6091806,479325
43.610322,477863
44.6109413,476388
45.6110541,474915
46.6113768,473484
47.611782,472035
48.6122784,470606
49.6127916,469156
50.6129651,467720
51.6133442,466274
52.6138013,464821
53.6140383,463378
54.6143241,461920
55.6145664,460477
56.6156612,459029
57.6160829,457576
58.6168783,456106
59.6171726,454717
60.6175921,453251
61.6179959,451785
62.6181586,450331
63.6183309,448864
64.6184747,447404
65.6187346,445931
66.619243,444459
67.6207297,442980
68.6211116,441504
69.6212499,439995
70.6214039,438496
71.6224334,437013
72.6238645,435540
73.6244716,434051
74.6250197,432579
75.625915,431060
76.6263282,429555
77.6271533,428064
78.6275162,426576
79.6276551,425104
80.628309,423621
81.6290057,422136
82.6297058,420641
83.6302855,419128
84.6305306,417631
85.6309982,416124
86.6314993,414642
87.6320023,413157
88.6326573,411680
89.6332544,410220
90.6341328,408740
91.6346114,407253
92.6349262,405754
93.6351843,404283
94.6357473,402821
95.6362765,401347
96.6367427,399933
97.6371451,398453
98.6372629,396989
99.6386687,395472
100.6395949,394003
101.6401037,392536
102.640332,391034
103.640958,389560
104.6414382,388123
105.6416177,386615
106.6422053,385143
107.6428719,383654
108.6432559,382187
109.643494,380739
110.6437759,379271
111.6440947,377809
112.6445506,376349
113.6452426,374915
114.6459848,373477
115.6461898,372021
116.6463696,370549
117.6465601,369124
118.6472695,367672
119.6477395,366204
120.6481483,364748
121.6487386,363317
122.6509709,361853
123.6513109,360386
124.6517149,358922
125.65237,357443
126.6528109,356017
127.6530681,354581
128.6537496,353104
129.6538896,351656
130.6553758,350239
131.6556588,348785
132.6559783,347295
133.6563609,345842
134.6565198,344386
135.6567293,342943
136.6568436,341457
137.6572745,340059
138.6574193,338587
139.6580677,337140
140.6587055,335710
141.6593327,334293
142.660246,332831
143.6610573,331385
144.66127,329924
145.6618589,328464
146.6624258,327020
147.6630312,325598
148.663349,324123
149.6634633,322644
150.6640713,321207
151.6641269,319758
152.6646138,318296
153.6651439,316803
154.66538070000001,315320
155.6654659,313865
156.6656651,312443
157.6663735,310977
158.6668435,309506
159.6669215,308065
160.6674791,306581
161.6677949,305122
162.6686349,303672
163.6691047,302206
164.6695927,300754
165.6700876,299311
166.6705343,297832
167.6707515,296361
168.6709975,294898
169.6726745,293425
170.6731639,291959
171.6734547,290504
172.6736711,289051
173.6743812,287602
174.6744964,286138
175.6769346,284655
176.6770061,283240
177.6774846,281763
178.677986,280302
179.6782425,278842
180.6784137,277360
181.6788121,275902
182.6796107,274484
183.6800269,273020
184.6810605,271579
185.6812235,270100
186.6816145,268656
187.6820651,267198
188.6821966,265741
189.6834543,264329
190.6835685,262888
191.6841712,261457
192.6844954,260032
193.6873663,258750
194.6898457,257447
195.6901092,256297
196.6902279,254993
197.6906667,253620
198.691382,252236
199.6916452,250904
200.6918395,249640
201.6919014,248288
202.6920589,246884
203.6921965,245518
204.6923613,244097
205.6928508,242740
206.6931649,241334
207.6937214,239961
208.6943893,238539
209.6951017,237121
210.6954217,235665
211.6956757,234212
212.6959003,232782
213.6962604,231358
214.6965388,229910
215.6965941,228453
216.6970528,226997
217.6976677,225535
218.6978137,224074
219.6982283,222606
220.6984408,221138
221.6998715,219720
222.7000266,218356
223.7008344,216964
224.7010454,215536
225.7011708,214138
226.7013406,212838
227.7018519,211516
228.7037869,210152
229.7040677,208724
230.7043998,207268
231.7050505,205873
232.705627,204436
233.7059999,203003
234.7065651,201593
235.7070119,200202
236.7071539,198759
237.7076841,197339
238.7081378,195920
239.7098307,194489
240.7101958,193080
241.7103036,191655
242.7104879,190195
243.7111149,188762
244.7115024,187362
245.711929,185925
246.7128282,184507
247.7130877,183088
248.7135316,181696
249.7138878,180280
250.71432479999999,178895
251.7145816,177504
252.7151492,176096
253.7153602,174649
254.7157146,173203
255.7172324,171744
256.7175888,170416
257.7177852,168983
258.717913,167611
259.7180049,166205
260.7187374,164864
261.7200506,163576
262.7204633,162223
263.7210979,160796
264.7215237,159353
265.7230365,157986
266.7231602,156579
267.7261152,155254
268.7271859,153849
269.7276926,152465
270.7282821,151050
271.7287702,149662
272.7291674,148208
273.7293939,146804
274.7300711,145426
275.7319258,144095
276.7325473,142765
277.7327754,141392
278.7329075,140060
279.733121,138713
280.7332768,137330
281.7333653,135891
282.7339562,134462
283.7343091,133037
284.7349481,131654
285.7350027,130248
286.735155,128842
287.7552008,127450
288.7555126,126051
289.7557302,124558
290.7558869,123153
291.7564499,121761
292.7579709,120330
293.75815,118911
294.75862,117492
295.7588071,116046
296.7592445,114631
297.7609785,113247
298.7611294,111887
299.7612887,110439
300.7616155,109000
301.7620394,107562
302.7624452,106175
303.762839,104776
304.7630832,103387
305.7635569,101974
306.7639281,100560
307.7644205,99137
308.7646778,97705
309.7653828,96285
310.7660516,94860
311.7665426,93437
312.7666835,92045
313.7669287,90709
314.7674938,89340
315.7675752,87996
316.7677858,86593
317.769186,85238
318.7694542,83843
319.7695264,82422
320.7696932,81020
321.7701938,79658
322.7703686,78286
323.7738605,76922
324.7742455,75564
325.77496,74241
326.7755689,72896
327.7757543,71519
328.7761701,70083
329.7762517,68638
330.7774192,67213
331.7777983,65783
332.77844,64369
333.7786764,62917
334.7792786,61465
335.7796442,60018
336.7800831,58513
337.7802249,57051
338.780818,55566
339.7814606,54088
340.7821016,52590
341.7840755,51098
342.7842751,49628
343.7845482,48139
344.7851694,46641
345.7854326,45131
346.7863354,43603
347.7865733,42047
348.78689,40538
349.7874768,39000
350.7878177,37461
351.7883887,35896
352.78853,34294
353.7886054,32701
354.7894494,31091
355.7896103,29490
356.7901006,27922
357.7901837,26337
358.7904066,24735
359.790625,23098
360.7908611,21420
361.7912665,19758
362.7917907,18085
363.7922553,16400
364.7927752,14756
365.7929561,13184
366.7936559,11575
367.7942074,9889
368.7943967,8130
369.7950118,6440
370.795206,4613
371.79528,2747
372.795473,823
