time_seconds,queue_size
1.5876177999999999,0
2.5878455000000002,571823
3.5884402,570717
4.5890013,569460
5.5895389,568386
6.5900861,567268
7.5905336,566031
8.5910742,564640
9.591224,563210
10.5915265,562092
11.5918261,560677
12.5921455,559315
13.5927265,557961
14.5929138,556568
15.5940307,555164
16.5942792,553778
17.5944808,552370
18.5946684,550947
19.5949173,549507
20.5952386,548099
21.5957585,546663
22.5962819,545374
23.596463,543942
24.596662,542488
25.5970025,541032
26.5970701,539618
27.5975507,538208
28.598717100000002,536778
29.5989406,535316
30.5991669,533892
31.5992368,532467
32.5993706,531036
33.6000128,529599
34.6006684,528140
35.6010092,526679
36.6015266,525230
37.6017074,523756
38.6023554,522296
39.6029239,520823
40.6032405,519344
41.6032962,517895
42.6033528,516418
43.6039439,514951
44.6046458,513465
45.604756,511959
46.6049777,510499
47.6054861,509019
48.6060839,507535
49.606525500000004,506040
50.6069801,504551
51.6073591,503053
52.6074358,501553
53.6078107,500055
54.6080724,498554
55.6084565,497058
56.6089712,495589
57.6096681,494095
58.6100825,492596
59.6102715,491162
60.6109196,489658
61.6115656,488152
62.6121195,486635
63.6124802,485114
64.6129934,483618
65.6131499,482144
66.6138989,480663
67.6142669,479176
68.6147514,477688
69.6150207,476221
70.6152641,474745
71.6154868,473256
72.6158337,471788
73.6164493,470302
74.6168298,468831
75.6168895,467372
76.6171674,465903
77.6172997,464413
78.6174351,462942
79.6177377,461430
80.6186852,459918
81.6190805,458422
82.6194816,456909
83.620005,455412
84.620095,453921
85.6203933,452432
86.6210528,450916
87.621234,449478
88.6216563,447980
89.6221517,446502
90.6223092,445005
91.6228696,443485
92.6229603,441959
93.6234775,440463
94.6238909,439006
95.6250691,437533
96.6252747,436072
97.6257348,434677
98.6260668,433192
99.6263546,431705
100.6269063,430276
101.6271124,428825
102.6272235,427328
103.627331,425817
104.6277313,424331
105.6281337,422812
106.6287359,421302
107.6290168,419810
108.6291332,418299
109.6295192,416788
110.629893,415309
111.6303264,413829
112.6309445,412347
113.6312246,410874
114.6313114,409373
115.6317655,407894
116.6321672,406396
117.6327694,404919
118.6331224,403444
119.6335459,401941
120.6336828,400473
121.6338428,399002
122.634455,397559
123.634671,396098
124.634792,394639
125.6353633,393139
126.6356674,391733
127.6358733,390274
128.6363224,388785
129.6365891,387296
130.6367763,385845
131.6372001,384363
132.6372937,382911
133.6375581,381438
134.6381707,379948
135.6385955,378471
136.6391557,376986
137.6393924,375504
138.6400451,374008
139.6402415,372536
140.6405634,371075
141.6407595,369622
142.6413865,368131
143.6420372,366689
144.6424939,365202
145.6428314,363748
146.6435438,362275
147.6442257,360806
148.6443455,359336
149.6447591,357854
150.6449446,356374
151.6450405,354920
152.6451883,353435
153.6453627,351941
154.6456625,350490
155.6460437,348982
156.6463463,347494
157.6464464,346023
158.6469913,344535
159.6474641,343058
160.6478482,341581
161.6480769,340117
162.648673,338694
163.6489182,337230
164.6495074,335786
165.6496985,334331
166.6501438,332873
167.6504794,331423
168.6512992,329937
169.6516424,328469
170.6517135,327024
171.652292,325578
172.6528265,324123
173.6529696,322671
174.6533577,321219
175.653616,319760
176.654378,318353
177.6545252,316882
178.6549795,315426
179.6553298,313974
180.6559456,312500
181.6565651,311016
182.6567168,309553
183.6569638,308055
184.6575283,306576
185.6577041,305140
186.6579755,303690
187.6581204,302192
188.6582687,300743
189.6587199,299272
190.65903,297813
191.6593735,296342
192.6597895,294850
193.6600816,293661
194.6608811,292398
195.6614454,291203
196.6615265,289856
197.6617504,288439
198.6621589,287044
199.6622658,285759
200.6628924,284472
201.6634504,283122
202.6635796,281707
203.6636494,280296
204.6641387,278857
