time_seconds,queue_size
1.5874549999999998,1
2.5889442000000003,533314
3.5893108,532285
4.5906699,531024
5.5920026,529849
6.5927088000000005,528637
7.592897,527442
8.593442,526062
9.5935522,524640
10.5937007,523507
11.5940578,522067
12.5946887,520648
13.5947496,519209
14.595375,517753
15.5957896,516261
16.5959883,514801
17.5960651,513332
18.5966769,511814
19.5967799,510331
20.5973928,508859
21.5978372,507374
22.5981658,506047
23.598568,504568
24.5987079,503111
25.5990566,501645
26.5992479,500253
27.5998337,498845
28.6002582,497390
29.6017197,495959
30.6022821,494525
31.6027266,493083
32.6042942,491633
33.6043814,490165
34.6050778,488706
35.6058061,487269
36.6068402,485837
37.6076094,484370
38.6078743,482932
39.6079571,481475
40.6085764,480030
41.6090281,478611
42.6095359,477172
43.60995,475717
44.6105777,474288
45.6112758,472837
46.6116459,471391
47.6121993,469933
48.6126097,468466
49.6127412,467012
50.6132021,465553
51.614818,464086
52.6148921,462616
53.6156221,461135
54.6160786,459664
55.616158,458208
56.6163333,456747
57.6168886,455261
58.6173046,453786
59.6176907,452413
60.6178033,450939
61.6183632,449450
62.6189707,447980
63.6190839,446495
64.6193844,444989
65.6194717,443508
66.6200433,441999
67.6204878,440534
68.6207014,439065
69.6208179,437579
70.6215777,436110
71.622834,434653
72.6231332,433158
73.6232431,431679
74.6238226,430205
75.6245155,428731
76.6249778,427256
77.6253089,425800
78.6257815,424321
79.6258654,422828
80.6264432,421388
81.6271819,419919
82.6274114,418413
83.627946,416908
84.6281669,415416
85.6288628,413920
86.6294078,412426
87.6298991,410992
88.6302647,409555
89.6303982,408069
90.6309451,406567
91.6313997,405058
92.6320192,403564
93.6325652,402104
94.6326128,400643
95.6331564,399178
96.6346855,397714
97.6352962,396257
98.6355111,394824
99.6365546,393379
100.6371822,391941
101.6378656,390484
102.6381906,388975
103.6382944,387469
104.6390426,386012
105.6396254,384503
106.6398754,382984
107.6402501,381495
108.6406042,379968
109.6408283,378440
110.6444092,376942
111.6449162,375430
112.6455626,373953
113.6460219,372493
114.6469106,371021
115.6471242,369556
116.6475817,368066
117.6477138,366566
118.6483426,365063
119.6488397,363582
120.6491873,362117
121.6493891,360616
122.6498225,359153
123.6499322,357692
124.6500316,356220
125.65019,354784
126.6507867,353348
127.6511861,351859
128.6514608,350389
129.6515434,348887
130.6519593,347395
131.6530418,345930
132.6536547,344465
133.6539077,342963
134.6554203,341506
135.6559347,340007
136.656234,338540
137.6564522,337075
138.6566734,335610
139.6571574,334121
140.6575011,332656
141.6578223,331189
142.658492,329741
143.6590235,328307
144.659156,326855
145.6592489,325393
146.6593593,323924
147.6594139,322485
148.659579,321000
149.6599502,319519
150.6604605,318028
151.6610645,316545
152.6616161,315045
153.6618833,313537
154.6624745,312041
155.6632391,310547
156.663816,309059
157.6641438,307579
158.6646364,306083
159.6650846,304611
160.6652595,303130
161.6656138,301656
162.6658521,300230
163.6664617,298751
164.6669006,297260
165.6673354,295757
166.6674244,294268
167.6680106,292791
168.668377,291313
169.6686704,289826
170.669219,288336
171.6693996,286871
172.6701628,285430
173.6706285,283952
174.6712718,282473
175.6719679,280990
176.6721888,279557
177.6725741,278054
178.6729614,276584
179.6735888,275114
180.6740794,273644
181.6746153,272182
182.6750149,270701
183.6755094,269226
184.6756471,267765
185.676052,266327
186.6761785,264858
187.6766336,263378
188.6769942,261896
189.6774591,260438
190.6781367,258977
191.6786906,257524
192.6791047,256077
193.6794107,254878
194.6795065,253581
195.6796832,252367
196.6802506,251097
197.6805621,249707
198.6807485,248387
199.6810098,247058
200.681351,245792
201.6815581,244470
202.6819289,243057
203.6823699,241665
204.6827823,240285
205.6830886,238897
206.6841319,237529
207.6842669,236171
208.6846809,234719
209.6852261,233274
210.685413,231842
211.6855179,230392
212.6860843,229060
213.6865093,227618
214.6867857,226154
215.6870227,224694
216.687284,223227
217.6883598,221762
218.6889741,220332
219.689505,218906
220.6900212,217473
221.6907229,216022
222.6913323,214713
223.6914103,213355
224.6918337,211989
225.692062,210617
226.6925567,209367
227.6960804,208208
228.6962841,206908
229.6966631,205588
230.6967446,204177
231.6970351,202811
232.6973744,201461
233.6980788,200099
234.6983335,198714
235.6987211,197402
236.6987932,196035
237.699057,194703
238.6991833,193326
239.6996904,191909
240.6997564,190516
241.6999663,189166
242.700636,187805
243.7024019,186440
244.7026058,185061
245.7030879,183688
246.703707,182323
247.7041958,180941
248.7049657,179560
249.7056255,178176
250.7058771,176829
251.7062228,175478
252.706518,174128
253.7071813,172734
254.7077816,171376
255.7083948,170052
256.7087835,168716
257.7093659,167313
258.7097501,165968
259.7099205,164654
260.710235,163344
261.7104144,162081
262.7107183,160773
263.7122131,159413
264.7125297,158045
265.7129279,156728
266.7130109,155342
267.7136879,153952
268.7138611,152558
269.7139934,151200
270.7142109,149847
271.7147937,148474
272.7151841,147123
273.7158602,145720
274.7163141,144424
275.7164312,143052
276.7230885,141853
277.7232112,140545
278.7236846,139241
279.7241059,137950
280.72516,136577
281.7258451,135163
282.7262419,133794
283.7264233,132380
284.7267408,131106
285.7271748,129733
286.7290012,128310
287.7291361,126929
288.7400985,125542
289.7406839,124169
290.7412738,122773
291.7416721,121365
292.7419279,119969
293.7424343,118564
294.7427708,117206
295.7435638,115852
296.7436653,114456
297.7440802,113075
298.7444048,111697
299.7449916,110303
300.7452879,108907
301.7459852,107531
302.7463261,106156
303.7467957,104902
304.7469892,103534
305.7475932,102124
306.7480854,100738
307.7494648,99357
308.7502029,98002
309.7506634,96601
310.7507251,95207
311.7508577,93811
312.7509462,92444
313.7516637,91045
314.7521029,89643
315.7524985,88304
316.7526112,86942
317.7529508,85602
318.753074,84173
319.753515,82781
320.7541966,81361
321.7545103,79981
322.7545699,78643
323.7549542,77308
324.7551769,75948
325.7557839,74661
326.7566102,73311
327.7571433,71952
328.7574018,70550
329.7590235,69120
330.759147,67721
331.7597481,66291
332.7604032,64875
333.7606966,63470
334.7608157,62027
335.76107,60597
336.7613673,59152
337.7615845,57683
338.7620783,56204
339.762347,54739
340.7624398,53255
341.7627889,51795
342.763125,50339
343.76338,48874
344.7639995,47344
345.7645343,45837
346.7649168,44362
347.7650527,42867
348.7656583,41371
349.765815,39875
350.7660619,38373
351.7667087,36838
352.7673446,35299
353.7675422,33740
354.7682038,32162
355.7684985,30594
356.7691353,29050
357.7698331,27535
358.7700897,26004
359.770439,24434
360.7709048,22801
361.7709953,21151
362.7713539,19523
363.7714977,17907
364.7716491,16277
365.7727944,14741
366.7732214,13202
367.7737143,11538
368.7742074,9828
369.7744641,8157
370.775045,6391
371.7752351,4522
372.7753442,2650
373.7754963,685
